Country,Deaths,GDP PPP per capita,Code
Afghanistan,9.1885684,2182,AFG
Albania,5.108780608,14866,ALB
Algeria,4.124306462,16091,DZA
Angola,11.96630535,6763,AGO
Antigua and Barbuda,2.650124496,30593,ATG
Argentina,10.60968195,19971,ARG
Armenia,8.263799266,11845,ARM
Australia,11.04688494,54799,AUS
Austria,11.20215699,55171,AUT
Azerbaijan,4.071032014,19156,AZE
Bahrain,4.227149676,51991,BHR
Bangladesh,6.032121179,5453,BGD
Barbados,3.974271622,19364,BRB
Belarus,19.03487291,21224,BLR
Belgium,14.27531877,50904,BEL
Belize,7.83283388,8791,BLZ
Benin,11.13786332,3648,BEN
Bhutan,5.717799366,10627,BTN
Bolivia,6.410848412,8525,BOL
Bosnia and Herzegovina,6.847151393,14894,BIH
Botswana,10.00756064,19388,BWA
Brazil,6.08930437,17106,BRA
Brunei,6.224963535,85011,BRN
Bulgaria,9.480819739,26034,BGR
Burkina Faso,13.21111045,2181,BFA
Burundi,12.61733573,724,BDI
Cambodia,4.544302654,5004,KHM
Cameroon,14.02993755,4099,CMR
Canada,10.90519483,52144,CAN
Cape Verde,16.76617486,8716,CPV
Central African Republic,16.92689737,864,CAF
Chad,11.02355593,2603,TCD
Chile,10.13896418,27150,CHL
China,7.206170018,20984,CHN
Colombia,5.525540639,16265,COL
Comoros,8.317069457,2898,COM
Costa Rica,7.803471527,18651,CRI
Croatia,11.05953062,29207,HRV
Cuba,11.2887855,8822,CUB
Cyprus,4.63015026,42956,CYP
Denmark,8.800279746,55675,DNK
Djibouti,8.443490103,5855,DJI
Dominica,4.536684169,12851,DMA
Dominican Republic,8.924038859,20625,DOM
Ecuador,9.213644563,11866,ECU
Egypt,5.469768775,14800,EGY
El Salvador,9.803162539,8593,SLV
Equatorial Guinea,9.334451063,19961,GNQ
Eritrea,15.7115139,1103,ERI
Estonia,12.73872009,37606,EST
Eswatini,22.31966302,11139,SWZ
Ethiopia,9.633952734,2702,ETH
Fiji,9.829020588,12689,FJI
Finland,12.94494674,49548,FIN
France,12.40029797,48640,FRA
Gabon,12.52681535,19839,GAB
Georgia,7.493722182,13200,GEO
Germany,9.917417031,55306,DEU
Ghana,9.702396733,7343,GHA
Greece,3.506254231,31616,GRC
Greenland,51.06323868,48182,GRL
Grenada,4.849891851,17434,GRD
Guatemala,5.916702403,9009,GTM
Guinea,11.12309955,2574,GIN
Guinea,11.12309955,2113,GIN
Guyana,26.07211034,17163,GUY
Haiti,8.553154753,1916,HTI
Honduras,4.397348634,5600,HND
Hungary,14.28173103,35941,HUN
Iceland,9.608335243,56974,ISL
India,15.59784439,9027,IND
Indonesia,3.124459497,14841,IDN
Iran,5.447743672,17832,IRN
Iraq,4.094957682,18755,IRQ
Ireland,8.374148078,86988,IRL
Israel,5.733338007,40337,ISR
Italy,4.759584776,41582,ITA
Jamaica,3.606515878,9932,JAM
Japan,15.64795107,46827,JPN
Jordan,3.218820217,9939,JOR
Kazakhstan,22.98552802,30178,KAZ
Kenya,11.05758978,4078,KEN
Kiribati,26.3786312,2193,KIR
Kuwait,2.492573555,67891,KWT
Kyrgyzstan,10.01537959,4193,KGZ
Laos,8.420251403,8684,LAO
Latvia,16.98867374,32987,LVA
Lebanon,4.778861022,15599,LBN
Lesotho,31.71521752,3655,LSO
Liberia,13.21205337,1428,LBR
Libya,8.072802093,9446,LBY
Lithuania,27.99058442,38751,LTU
Luxembourg,8.704992604,112045,LUX
Madagascar,10.98562128,1776,MDG
Malawi,12.11902436,1292,MWI
Malaysia,7.845130367,34567,MYS
Maldives,3.3461226,24796,MDV
Mali,6.811872286,2569,MLI
Malta,4.52703218,49589,MLT
Marshall Islands,22.46109451,3972,MHL
Mauritania,6.635567299,5158,MRT
Mauritius,8.310517248,26461,MUS
Mexico,5.922387652,21363,MEX
Moldova,13.63674914,8161,MDA
Mongolia,15.35814334,15089,MNG
Montenegro,9.382655422,21977,MNE
Morocco,7.14697167,9667,MAR
Mozambique,17.20414341,1372,MOZ
Myanmar,5.042599564,7220,MMR
Namibia,11.81252592,11451,NAM
Nepal,8.370004911,3550,NPL
Netherlands,9.169106187,60299,NLD
New Zealand,11.29634236,42045,NZL
Nicaragua,5.862555356,5297,NIC
Niger,7.634457206,1152,NER
Nigeria,7.539960024,6172,NGA
North Macedonia,6.779789281,17378,MKD
Norway,9.268806468,79638,NOR
Oman,2.917163716,48593,OMN
Pakistan,4.447947653,6016,PAK
Panama,4.979081169,28456,PAN
Papua New Guinea,23.0743527,4081,PNG
Paraguay,5.752984965,13213,PRY
Peru,3.138703281,15399,PER
Philippines,6.007670191,10094,PHL
Poland,13.94814001,35651,POL
Portugal,7.687679698,34936,PRT
Puerto Rico,6.089368058,41198,PRI
Romania,9.158621987,29555,ROU
Russia,25.08766881,30820,RUS
Rwanda,10.95083997,2642,RWA
Saint Lucia,6.902542099,15159,LCA
Saint Vincent and the Grenadines,7.216664089,12983,VCT
Samoa,10.00174334,6493,WSM
