code,Country,Deaths,GDP PPP per capita,Life expectancy,Continent,Urbanization rate,Ladder score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
AFG,Afghanistan,9.1885684,2182,64.5,Asia,26,2.523,0.463,52.493,0.382,-0.102,0.924
DZA,Algeria,4.124306462,16091,76.7,Africa,73.7,4.887,0.802,66.005,0.48,-0.067,0.752
ARG,Argentina,10.60968195,19971,76.5,Americas,92.1,5.929,0.898,69,0.828,-0.182,0.834
ARM,Armenia,8.263799266,11845,74.9,Asia,63.3,5.283,0.799,67.055,0.825,-0.168,0.629
AUS,Australia,11.04688494,54799,83.3,Oceania,86.2,7.183,0.94,73.9,0.914,0.159,0.442
AUT,Austria,11.20215699,55171,81.4,Europe,58.7,7.268,0.934,73.3,0.908,0.042,0.481
AZE,Azerbaijan,4.071032014,19156,72.9,Asia,56.4,5.171,0.836,65.656,0.814,-0.223,0.506
BHR,Bahrain,4.227149676,51991,77.2,Asia,89.5,6.647,0.862,69.495,0.925,0.089,0.722
BGD,Bangladesh,6.032121179,5453,72.3,Asia,38.2,5.025,0.693,64.8,0.877,-0.041,0.682
BLR,Belarus,19.03487291,21224,74.6,Europe,79.5,5.534,0.91,66.253,0.65,-0.18,0.627
BEL,Belgium,14.27531877,50904,81.5,Europe,98.1,6.834,0.906,72.199,0.783,-0.153,0.646
BEN,Benin,11.13786332,3648,61.5,Africa,48.4,5.045,0.489,54.713,0.757,-0.034,0.661
BOL,Bolivia,6.410848412,8525,71.2,Americas,70.1,5.716,0.81,63.901,0.875,-0.077,0.839
BIH,Bosnia and Herzegovina,6.847151393,14894,77.3,Europe,49,5.813,0.87,68.098,0.706,0.113,0.931
BWA,Botswana,10.00756064,19388,69.3,Africa,70.9,3.467,0.784,59.269,0.824,-0.246,0.801
BRA,Brazil,6.08930437,17106,75.7,Americas,87.1,6.33,0.882,66.601,0.804,-0.071,0.756
BGR,Bulgaria,9.480819739,26034,74.9,Europe,75.7,5.266,0.931,67,0.788,-0.096,0.932
BFA,Burkina Faso,13.21111045,2181,61.2,Africa,30.6,4.834,0.672,54.151,0.695,-0.009,0.748
BDI,Burundi,12.61733573,724,61.2,Africa,13.7,3.775,0.49,53.4,0.626,-0.024,0.607
KHM,Cambodia,4.544302654,5004,69.6,Asia,24.2,4.83,0.765,62,0.959,0.034,0.843
CMR,Cameroon,14.02993755,4099,58.9,Africa,57.6,5.142,0.71,53.515,0.731,0.026,0.848
CAN,Canada,10.90519483,52144,82.3,Americas,81.6,7.103,0.926,73.8,0.915,0.089,0.415
TCD,Chad,11.02355593,2603,54,Africa,23.5,4.355,0.619,48.478,0.579,0.041,0.807
CHL,Chile,10.13896418,27150,80,Americas,87.7,6.172,0.882,70,0.742,-0.044,0.83
CHN,China,7.206170018,20984,76.7,Asia,61.4,5.339,0.811,69.593,0.904,-0.146,0.755
COL,Colombia,5.525540639,16265,77.1,Americas,81.4,6.012,0.847,68.001,0.837,-0.135,0.841
COM,Comoros,8.317069457,2898,64.1,Africa,29.4,4.289,0.626,57.349,0.548,0.082,0.781
CRI,Costa Rica,7.803471527,18651,80.1,Americas,80.8,7.069,0.891,71.4,0.934,-0.126,0.809
HRV,Croatia,11.05953062,29207,78.3,Europe,57.6,5.882,0.924,70.799,0.754,-0.118,0.939
CYP,Cyprus,4.63015026,42956,80.8,Asia,66.8,6.223,0.802,73.898,0.763,-0.015,0.844
DNK,Denmark,8.800279746,55675,80.8,Europe,88.1,7.62,0.954,72.7,0.946,0.03,0.179
DOM,Dominican Republic,8.924038859,20625,73.9,Americas,82.5,5.545,0.853,66.102,0.86,-0.133,0.714
ECU,Ecuador,9.213644563,11866,76.8,Americas,64.2,5.764,0.821,68.8,0.842,-0.124,0.843
EGY,Egypt,5.469768775,14800,71.8,Africa,42.8,4.283,0.75,61.998,0.749,-0.182,0.795
SLV,El Salvador,9.803162539,8593,73.1,Americas,73.4,6.061,0.762,66.402,0.888,-0.11,0.688
EST,Estonia,12.73872009,37606,78.6,Europe,69.2,6.189,0.941,68.8,0.909,-0.106,0.527
ETH,Ethiopia,9.633952734,2702,66.2,Africa,21.7,4.275,0.764,59,0.752,0.082,0.761
FIN,Finland,12.94494674,49548,81.7,Europe,85.5,7.842,0.954,72,0.949,-0.098,0.186
FRA,France,12.40029797,48640,82.5,Europe,81,6.69,0.942,74,0.822,-0.147,0.571
GAB,Gabon,12.52681535,19839,66.2,Africa,90.1,4.852,0.776,59.962,0.731,-0.2,0.84
GEO,Georgia,7.493722182,13200,73.6,Asia,59.5,4.891,0.671,64.3,0.783,-0.238,0.655
DEU,Germany,9.917417031,55306,81.2,Europe,77.5,7.155,0.903,72.5,0.875,0.011,0.46
